"id","country_id:id","name","code"
"l10n_cn.state_AH","base.cn","安徽省","皖"
"l10n_cn.state_MO","base.cn","澳门特别行政区","MO"
"l10n_cn.state_BJ","base.cn","北京","京"
"l10n_cn.state_FJ","base.cn","福建省","闽"
"l10n_cn.state_GS","base.cn","甘肃省","甘"
"l10n_cn.state_GD","base.cn","广东省","粤"
"l10n_cn.state_GX","base.cn","广西壮族自治区","桂"
"l10n_cn.state_GZ","base.cn","贵州省","黔"
"l10n_cn.state_HaN","base.cn","海南省","琼"
"l10n_cn.state_HW","base.cn","海外","HW"
"l10n_cn.state_HeB","base.cn","河北省","冀"
"l10n_cn.state_HL","base.cn","黑龙江省","黑"
"l10n_cn.state_HuB","base.cn","湖北省","鄂"
"l10n_cn.state_HuN","base.cn","湖南省","湘"
"l10n_cn.state_JL","base.cn","吉林省","吉"
"l10n_cn.state_JS","base.cn","江苏省","苏"
"l10n_cn.state_JX","base.cn","江西省","赣"
"l10n_cn.state_LN","base.cn","辽宁省","辽"
"l10n_cn.state_NM","base.cn","内蒙古自治区","蒙"
"l10n_cn.state_NX","base.cn","宁夏回族自治区","宁"
"l10n_cn.state_QH","base.cn","青海省","青"
"l10n_cn.state_SD","base.cn","山东省","鲁"
"l10n_cn.state_SX2","base.cn","山西省","SX"
"l10n_cn.state_SX","base.cn","陕西省","陕"
"l10n_cn.state_SH","base.cn","上海","沪"
"l10n_cn.state_SC","base.cn","四川省","蜀"
"l10n_cn.state_TW2","base.cn","台湾省","TW"
"l10n_cn.state_TJ","base.cn","天津","津"
"l10n_cn.state_XZ","base.cn","西藏自治区","藏"
"l10n_cn.state_HK2","base.cn","香港特别行政区","HK"
"l10n_cn.state_XJ","base.cn","新疆维吾尔自治区","新"
"l10n_cn.state_YN","base.cn","云南省","滇"
"l10n_cn.state_ZJ","base.cn","浙江省","浙"
"l10n_cn.state_CQ","base.cn","重庆","渝 "
"l10n_cn.state_HeN","base.cn","河南省","豫"
